Lat,Lon,Temp,Humid,Light,Moist
52.271949,4.520558,23.299999,32.0,0.687012,-0.000276076
52.270885,4.520226,23.299999,33.0,0.545654,-0.000276076
52.2712,4.517059,23.299999,32.0,0.604736,-0.000276076
52.272349,4.516951,23.299999,30.0,0.568604,-0.000276076
